#Parameters = {charge_param=1e-09; time_step_stability_factor=0.5; cond=100; wakelength=6800; cpw=40}
#"Frequency / GHz"	"Z (95) [Re / Ohm]"	"Z (95) [Im / Ohm]"
#---------------------------------------------------------
0.0000000000000	-0.14017006048570	1.1464289349559e-10
0.0010239144611436	0.0041405942061215	0.59402454800737
0.0020478289222872	0.27064409479682	0.95882680689461
0.0030717433834308	0.42078953097180	1.1798405082547
0.0040956578445743	0.48778910002856	1.4626957928268
0.0051195723057179	0.64396251170186	1.7844204017416
0.0061434867668615	0.86011876668203	1.9788503752483
0.0071674012280051	0.95699380666132	2.0684852879020
0.0081913156891487	0.93328778651867	2.2417924346373
0.0092152301502923	0.97323616269373	2.5262079191281
0.010239144611436	1.1225826985714	2.7473623894800
0.011263059072579	1.2138743922551	2.8457185193884
0.012286973533723	1.1716966088690	2.9838061891625
0.013310887994867	1.1506154738324	3.2552251462859
0.014334802456010	1.2609234016194	3.5174052537041
0.015358716917154	1.3735086499900	3.6462631785534
0.016382631378297	1.3518871464885	3.7572572043363
0.017406545839441	1.2966449728530	3.9987256240922
0.018430460300585	1.3664774540185	4.2868777785528
0.019454374761728	1.4955943965396	4.4550177225409
0.020478289222872	1.5114163122881	4.5505198024401
0.021502203684015	1.4424720081607	4.7501108711489
0.022526118145159	1.4676904282664	5.0446813257408
0.023550032606302	1.5976318591284	5.2553668742374
0.024573947067446	1.6557166187234	5.3521384507548
0.025597861528590	1.5928492949664	5.5072507489901
0.026621775989733	1.5749438755591	5.7883485656101
0.027645690450877	1.6874398294825	6.0378850356886
0.028669604912020	1.7830793948544	6.1536493291628
0.029693519373164	1.7440993786312	6.2708363026500
0.030717433834308	1.6919880705596	6.5213634164338
0.031741348295451	1.7712311853763	6.7989290824436
0.032765262756595	1.8919968240011	6.9482087265789
0.033789177217738	1.8899654597494	7.0414585182780
0.034813091678882	1.8188985320271	7.2500115020560
0.035837006140025	1.8550459025897	7.5392690029766
0.036860920601169	1.9833793236098	7.7301933266906
0.037884835062313	2.0242079059823	7.8180387879666
0.038908749523456	1.9530140545486	7.9809704894093
0.039932663984600	1.9442374008282	8.2630034021225
0.040956578445743	2.0608417164076	8.4955494031843
0.041980492906887	2.1421107872244	8.5974444613697
0.043004407368031	2.0896124577107	8.7195752272739
0.044028321829174	2.0425235618214	8.9764702953551
0.045052236290318	2.1300608781694	9.2423766334894
0.046076150751461	2.2414094785044	9.3749529594538
0.047100065212605	2.2227904035766	9.4687174561064
0.048123979673749	2.1512242722881	9.6870360789291
0.049147894134892	2.1976561326388	9.9713547598812
0.050171808596036	2.3227070195117	10.145233168291
0.051195723057179	2.3465587388630	10.228380971294
0.052219637518323	2.2689606232740	10.401815775901
0.053243551979466	2.2698986638994	10.685781435007
0.054267466440610	2.3893655096413	10.903530934265
0.055291380901754	2.4559915406705	10.995794687017
0.056315295362897	2.3919057884547	11.126476178912
0.057339209824041	2.3515136856694	11.391132751086
0.058363124285184	2.4468969608196	11.646765353466
0.059387038746328	2.5482061614332	11.766122796862
0.060410953207472	2.5145344931783	11.864309586041
0.061434867668615	2.4447961502123	12.094196204062
0.062458782129759	2.5019583868313	12.374300368436
0.063482696590902	2.6229763080067	12.533542928369
0.064506611052046	2.6307212175079	12.615741319305
0.065530525513189	2.5492023143670	12.801926711430
0.066554439974333	2.5611317570909	13.088231023218
0.067578354435477	2.6828477866773	13.292499927135
0.068602268896620	2.7349679514739	13.378363399925
0.069626183357764	2.6614886006151	13.520241443819
0.070650097818907	2.6297129035041	13.793126508812
0.071674012280051	2.7327244105424	14.038897398486
0.072697926741195	2.8235212770281	14.147493549046
0.073721841202338	2.7763704579067	14.252986346868
0.074745755663482	2.7107379966650	14.495277158965
0.075769670124625	2.7789957807181	14.770999122458
0.076793584585769	2.8951587745119	14.917157333204
0.077817499046912	2.8875728173576	15.001276466567
0.078841413508056	2.8044304963794	15.201590967955
0.079865327969200	2.8283669583481	15.489871982714
0.080889242430343	2.9514902707605	15.681315643994
0.081913156891487	2.9890752493165	15.763345831581
0.082937071352630	2.9081811841216	15.918352469314
0.083960985813774	2.8866152176611	16.199282767791
0.084984900274918	2.9967131955843	16.435102889712
0.086008814736061	3.0763125607698	16.534938772509
0.087032729197205	3.0170656676391	16.650082069346
0.088056643658348	2.9575083749455	16.905067938803
0.089080558119492	3.0368630644769	17.175843714456
0.090104472580635	3.1471009836711	17.310177164863
0.091128387041779	3.1248068868708	17.398719184996
0.092152301502923	3.0420962328443	17.614094767185
0.093176215964066	3.0787006538938	17.903651790471
0.094200130425210	3.2021107931743	18.082740983303
0.095224044886353	3.2250013623392	18.163288410284
0.096247959347497	3.1385128489939	18.333010048515
0.097271873808641	3.1284442446764	18.621493808330
0.098295788269784	3.2447890304541	18.847141520838
0.099319702730928	3.3123758196085	18.940121332388
0.10034361719207	3.2423336510394	19.067019186165
0.10136753165321	3.1905923232004	19.334705210668
0.10239144611436	3.2807468927636	19.599845299437
0.10341536057550	3.3838377439752	19.723595414011
0.10443927503665	3.3474265260659	19.818927188917
0.10546318949779	3.2670634532137	20.050042146769
0.10648710395893	3.3167222413018	20.340029500559
0.10751101842008	3.4391135239160	20.507252907277
0.10853493288122	3.4471359937122	20.588629620608
0.10955884734236	3.3568202177566	20.774449469822
0.11058276180351	3.3593120329565	21.069822883335
0.11160667626465	3.4808483185669	21.285091083060
0.11263059072579	3.5355777016246	21.373157524273
0.11365450518694	3.4560558139276	21.513779797874
0.11467841964808	3.4137175191440	21.793981654469
0.11570233410923	3.5141451083279	22.052778010971
